"The National Center for Health Statistics (NCHS) has published an update to  the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) diagnosis codes, which will become effective October 1, 2019.   
The FY 2020 (October 1, 2019-September 30, 2020) Conversion Table for new ICD-10-CM codes is provided to assist users in data retrieval.  For each new code the table shows the effective date and its previously assigned code equivalent.",,
Current code assignment,Effective October 1,Previous Code(s) Assignment
E13.3512,2016,E13.351
E13.3513,2016,E13.351
E13.3519,2016,E13.351
E13.3521,2016,E13.351
E13.3522,2016,E13.351
E13.3523,2016,E13.351
E13.3529,2016,E13.351
E13.3531,2016,E13.351
E13.3532,2016,E13.351
E13.3533,2016,E13.351
E13.3539,2016,E13.351
E13.3541,2016,E13.351
E13.3542,2016,E13.351
E13.3543,2016,E13.351
E13.3549,2016,E13.351
E13.3551,2016,E13.351
E13.3552,2016,E13.351
E13.3553,2016,E13.351
E13.3559,2016,E13.351
E13.3591,2016,E13.359
E13.3592,2016,E13.359
E13.3593,2016,E13.359
E13.3599,2016,E13.359
E13.37X1,2016,E13.311
E13.37X2,2016,E13.311
E13.37X3,2016,E13.311
E13.37X9,2016,E13.311
E72.81,2018,E72.8
E72.89,2018,E72.8
E75.26,2018,E75.29
E78.00,2016,E78.0
E78.01,2016,E78.0
E78.41,2018,E78.4
E78.49,2018,E78.4
E85.81,2017,E85.8
E85.82,2017,E85.8
E85.89,2017,E85.8
E88.02,2018,E88.09
E89.820,2016,E89.810
E89.821,2016,E89.811
E89.822,2016,E89.810
E89.823,2016,E89.811
F10.11,2017,F10.10
F11.11,2017,F11.10
F12.11,2017,F12.10
F12.23,2018,F12.288
F12.93,2018,F12.988
F13.11,2017,F13.10
F14.11,2017,F14.10
F15.11,2017,F15.10
F16.11,2017,F16.10
F18.11,2017,F18.10
F19.11,2017,F19.10
F32.81,2016,F32.8
F32.89,2016,F32.8
F34.81,2016,F34.8
F34.89,2016,F34.8
F42.2,2016,F42
F42.3,2016,F42
F42.4,2016,L98.1
F42.8,2016,F42
F42.9,2016,F42
F50.81,2016,F50.8
F50.82,2017,F50.89
F50.89,2016,F50.8
F53.0,2018,F53
F53.1,2018,F53
F64.0,2016,F64.1
F68.A ,2018,F68.10
F80.82,2016,F80.89
G12.23,2017,G12.29
G12.24,2017,G12.29
G12.25,2017,G12.21
G51.31,2018,G51.3
G51.32,2018,G51.3
G51.33,2018,G51.3
G51.39,2018,G51.3
